"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Gestión de Sesión","","0","0","1","0","0"
"","Validaciones de Checkout","","0","0","1","0","0"
"","Login Tests","","0","0","2","0","0"
"","Login con Múltiples Datos","","0","0","4","0","0"
"","Lógica del Carrito","","0","0","1","0","0"
"","Módulo de Compras","","0","0","1","0","0"
"","Catálogo de Productos","","0","0","1","0","0"
